codigo_ocorrencia;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_registro_segmento;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;aeronave_peso_maximo_decolagem;ocorrencia_classificacao;ocorrencia_uf;ocorrencia_aeronaves_envolvidas;ocorrencia_saida_pista;ocorrencia_ano;ocorrencia_periodo;ocorrencia_tipo
78616;ULTRALEVE;PARADISE INDUSTRIA AERONÁUTICA LTDA.;PISTÃO;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;MG;1;NÃO;2019;NOITE;FALHA DO MOTOR EM VOO
78617;AVIÃO;AIR TRACTOR;TURBOÉLICE;MONOMOTOR;AGRÍCOLA;DECOLAGEM;SUBSTANCIAL;0;ENTRE 2250KG E 5700KG;ACIDENTE;MS;1;NÃO;2019;MANHÃ;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
78619;AVIÃO;EMBRAER;PISTÃO;MONOMOTOR;AGRÍCOLA;DECOLAGEM;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;GO;1;NÃO;2019;TARDE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
78620;ULTRALEVE;PRISCILA CABRAL FIGUEIREDO;PISTÃO;MONOMOTOR;EXPERIMENTAL;SUBIDA;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;SP;1;NÃO;2019;TARDE;FALHA DO MOTOR EM VOO
78623;AVIÃO;AEROSPATIALE AND ALENIA;TURBOÉLICE;BIMOTOR;REGULAR;SUBIDA;NENHUM;0;ACIMA 5700KG;INCIDENTE;SC;1;NÃO;2019;TARDE;FALHA DO MOTOR EM VOO
78624;AVIÃO;BEECH AIRCRAFT;PISTÃO;BIMOTOR;PARTICULAR;DECOLAGEM;NENHUM;0;ENTRE 2250KG E 5700KG;INCIDENTE;MS;1;NÃO;2019;NOITE;COM PARA-BRISAS / JANELA / PORTA
78625;AVIÃO;ISRAEL AIRCRAFT;JATO;BIMOTOR;PARTICULAR;DECOLAGEM;NENHUM;0;ACIMA 5700KG;INCIDENTE;MG;1;NÃO;2019;TARDE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
78626;NÃO INFORMADO;NÃO INFORMADO;NÃO INFORMADO;SEM TRAÇÃO;EXPERIMENTAL;MANOBRA;DESTRUÍDA;2;NÃO INFORMADO;ACIDENTE;MG;1;NÃO;2019;TARDE;PERDA DE CONTROLE EM VOO
78627;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;AGRÍCOLA;DECOLAGEM;LEVE;0;ATÉ 2250KG;INCIDENTE GRAVE;GO;1;SIM;2019;NOITE;EXCURSÃO DE PISTA
78628;NÃO INFORMADO;NÃO INFORMADO;NÃO INFORMADO;SEM TRAÇÃO;EXPERIMENTAL;CRUZEIRO;NENHUM;0;NÃO INFORMADO;INCIDENTE;SP;1;NÃO;2019;TARDE;VAZAMENTO DE OUTROS FLUIDOS
78629;AVIÃO;EMBRAER;TURBOÉLICE;BIMOTOR;PARTICULAR;SUBIDA;SUBSTANCIAL;0;ENTRE 2250KG E 5700KG;ACIDENTE;SP;1;NÃO;2019;MADRUGADA;SUPERAQUECIMENTO
78631;NÃO INFORMADO;NÃO INFORMADO;NÃO INFORMADO;SEM TRAÇÃO;NÃO REGULAR;ESTACIONAMENTO;NENHUM;0;NÃO INFORMADO;INCIDENTE;PR;1;NÃO;2019;NOITE;OUTROS
78632;AVIÃO;CESSNA AIRCRAFT;TURBOÉLICE;MONOMOTOR;ADMINISTRAÇÃO DIRETA;TÁXI;NENHUM;0;ENTRE 2250KG E 5700KG;INCIDENTE;SP;1;NÃO;2019;TARDE;COM TREM DE POUSO
78635;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;INSTRUÇÃO;SUBIDA;NENHUM;0;ATÉ 2250KG;INCIDENTE;MG;1;NÃO;2019;MADRUGADA;FALHA OU MAU FUNCIONAMENTO DO MOTOR
78636;AVIÃO;EMBRAER;JATO;BIMOTOR;REGULAR;TÁXI;NENHUM;0;ACIMA 5700KG;INCIDENTE;MG;1;NÃO;2019;NOITE;FUMAÇA NA CABINE
78637;AVIÃO;EMBRAER;JATO;BIMOTOR;PARTICULAR;APROXIMAÇÃO FINAL;LEVE;0;ENTRE 2250KG E 5700KG;INCIDENTE;CE;1;NÃO;2019;NOITE;COLISÃO COM AVE
78638;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;PARTICULAR;APROXIMAÇÃO FINAL;NENHUM;0;ATÉ 2250KG;INCIDENTE GRAVE;MG;1;NÃO;2019;NOITE;COMBUSTÍVEL
78640;ULTRALEVE;NÃO INFORMADO;NÃO INFORMADO;SEM TRAÇÃO;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0;NÃO INFORMADO;ACIDENTE;GO;1;NÃO;2019;NOITE;FALHA DO MOTOR EM VOO
78641;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;CRUZEIRO;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;GO;1;NÃO;2019;TARDE;FALHA DO MOTOR EM VOO
78643;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;INSTRUÇÃO;DECOLAGEM;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;MG;1;SIM;2019;TARDE;EXCURSÃO DE PISTA
78645;NÃO INFORMADO;NÃO INFORMADO;NÃO INFORMADO;NÃO INFORMADO;TÁXI AÉREO;TÁXI;LEVE;0;NÃO INFORMADO;INCIDENTE;PR;1;NÃO;2019;TARDE;COLISÃO COM OBSTÁCULOS NO SOLO
78650;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;INSTRUÇÃO;POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE;SP;1;NÃO;2019;TARDE;ESTOURO DE PNEU
